"Name ","Purpose","Quantity","Price in USD","Link","Distributor"
"PCB(moq5)","The main board","5","29.60","https://jlcpcb.com/","JLC"
"CR2016 3V Lithium Coin Battery ","For Power","2","1.72","https://robu.in/product/maxell-cr2016-3v-lithium-coin-battery-5-pieces/","Robu"
" Battery Button Cell Holder","For the battery","5","0.75","https://robu.in/product/20mm-cr2032-battery-button-cell-holder/","Robu"
"Slide Switch","For the on off","11","0.2","https://robu.in/product/1-month-warranty-255/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeRqbPjidoorWYajEl4_fv_H&gclid=CjwKCAjwqJXUBhBNEiwA8BgG7tvKkcLP-JAW8cVFIa4Twj0hgfu651wYLcjNTsaMOXqwAtO8mHeGnBoCsRkQAvD_BwE","Robu"
"NFC tag sticker","For the nfc","5","1.26","https://robu.in/product/13-56-mhz-ntag213-144byte-sticker-nfc-tag/","Robu"
"Lanyard Strap","For the Card holder","1","1.8","https://www.amazon.in/AccuPrints-Universe-Identity-retractors-Retractor/dp/B07ZD8JK12/ref=sr_1_10?dib=eyJ2IjoiMSJ9.1nwEp-3MeozlFqe7keaj2R2PNylvnA4Z5x6UFuGEqvcBR3LeMxJwr7gr3goYCWKtDbTAwrH3jmJD09e6uW8Kw6QGcPsVyLaMo4pUnnoZB8sAti2uSWLH_ToU7Gc3KyVp2ByOy2cCbQ-gofl61cvK-xmuL9QWiPtVUqBEIM50IHrL5tjl6XI8CeX1y-FD_WGmZY9q_XaDbAxgQU7kPGAs5gEHbmEu33uAvJTgiuThHNGtVB8X7cokWMtdGyWFYRPkRxZ-RmZZatoo3k1F9ZIXKiqdQp9fCHOydL1PiInve1w.Z5q63elIxJEmD1FrgD3xJ0tXCpjB1b4QNsEb320Hejk&dib_tag=se&keywords=lanyard%2Bfor%2Bid%2Bcard&qid=1787222575&sr=8-10&th=1","Amazon"
"Shipping","incl.pcb","","14","",""
"Total","","","49.33","",""
"Round Off","","","50","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
